1.290446,0.035523,0.412095,211.130108,0.450858,17.071768,0.537258,6.454
3.632314,0.038299,0.603479,286.455638,0.820427,25.395431,0.898228,3.346
1.191069,0.001793,0.235798,252.334226,0.342011,15.874281,0.736541,6.220
1.783220,0.018843,0.497346,134.878572,0.899580,11.244177,0.598621,5.199
2.293102,0.025757,0.559761,285.859380,3.342258,19.179113,0.647222,4.415
1.261097,0.121410,0.279491,34.470771,0.682402,13.084256,0.710150,6.090
3.591294,0.236907,0.603279,276.466281,0.517654,27.424918,0.888642,3.158
1.048520,0.051852,0.047854,327.973239,0.124177,19.123430,0.952751,5.976
5.291914,0.381816,0.611155,218.504766,0.326618,30.994787,1.277179,2.196
2.823943,0.298510,0.635693,359.929822,0.714562,16.998229,0.628959,3.861
2.1,0.045,0.62,210.0,0.95,23.5,0.79,3.0
1.1,0.17,0.22,67.4,0.2,8.5,0.85,6.3
1.3,0.033,0.58,145.2,1.2,27.0,0.55,2.85
3.5,0.011,0.66,310.5,0.75,29.1,0.7,3.2
5.2,0.19,0.41,102.0,0.3,14.8,2.1,5.6
2.8,0.25,0.34,250.3,0.4,11.2,1.9,4.9
